zip,cbsa,res_ratio,bus_ratio,oth_ratio,tot_ratio
02659,12700,1.000000000,1.000000000,1.000000000,1.000000000
02645,12700,1.000000000,1.000000000,1.000000000,1.000000000
02642,12700,1.000000000,1.000000000,1.000000000,1.000000000
03108,31700,1.000000000,1.000000000,1.000000000,1.000000000
03602,28300,0.774136404,0.636363636,1.000000000,0.773152082
03602,30100,0.225863596,0.363636364,0.000000000,0.226847918
03748,30100,1.000000000,1.000000000,1.000000000,1.000000000
03607,30100,1.000000000,0.000000000,1.000000000,1.000000000
03784,30100,1.000000000,1.000000000,1.000000000,1.000000000
03593,13620,1.000000000,1.000000000,1.000000000,1.000000000
03431,28300,1.000000000,1.000000000,1.000000000,1.000000000
03303,18180,1.000000000,1.000000000,1.000000000,1.000000000
03449,31700,1.000000000,1.000000000,1.000000000,1.000000000
03253,29060,1.000000000,1.000000000,1.000000000,1.000000000
03819,14460,1.000000000,1.000000000,1.000000000,1.000000000
03840,14460,1.000000000,1.000000000,1.000000000,1.000000000
03825,14460,1.000000000,1.000000000,1.000000000,1.000000000
03857,14460,1.000000000,1.000000000,1.000000000,1.000000000
04093,38860,1.000000000,1.000000000,1.000000000,1.000000000
04062,38860,1.000000000,1.000000000,1.000000000,1.000000000
04015,38860,1.000000000,1.000000000,1.000000000,1.000000000
04043,38860,1.000000000,1.000000000,1.000000000,1.000000000
04030,38860,1.000000000,1.000000000,1.000000000,1.000000000
03901,38860,1.000000000,1.000000000,1.000000000,1.000000000
04001,38860,1.000000000,1.000000000,1.000000000,1.000000000
03878,14460,1.000000000,1.000000000,1.000000000,1.000000000
03886,99999,1.000000000,1.000000000,1.000000000,1.000000000
04240,30340,1.000000000,1.000000000,1.000000000,1.000000000
04220,99999,0.997122302,1.000000000,1.000000000,0.997191011
04220,30340,0.002877698,0.000000000,0.000000000,0.002808989
04444,12620,1.000000000,1.000000000,1.000000000,1.000000000
04434,12620,1.000000000,1.000000000,1.000000000,1.000000000
04438,99999,1.000000000,1.000000000,1.000000000,1.000000000
04539,99999,1.000000000,1.000000000,1.000000000,1.000000000
04345,38860,0.000777847,0.000000000,0.000000000,0.000703334
04345,12300,0.999222153,1.000000000,1.000000000,0.999296666
04417,12620,1.000000000,0.000000000,1.000000000,1.000000000
04426,99999,1.000000000,1.000000000,1.000000000,1.000000000
04274,30340,1.000000000,1.000000000,1.000000000,1.000000000
04276,99999,1.000000000,1.000000000,1.000000000,1.000000000
04270,30340,0.004506066,0.000000000,0.000000000,0.004256713
04270,99999,0.995493934,1.000000000,1.000000000,0.995743287
04268,99999,1.000000000,1.000000000,1.000000000,1.000000000
04619,99999,1.000000000,1.000000000,1.000000000,1.000000000
04666,99999,1.000000000,1.000000000,1.000000000,1.000000000
04658,99999,1.000000000,1.000000000,1.000000000,1.000000000
04628,99999,1.000000000,1.000000000,1.000000000,1.000000000
04660,99999,1.000000000,1.000000000,1.000000000,1.000000000
04616,99999,1.000000000,1.000000000,1.000000000,1.000000000
05061,30100,1.000000000,1.000000000,1.000000000,1.000000000
05089,30100,1.000000000,1.000000000,1.000000000,1.000000000
05079,30100,1.000000000,1.000000000,1.000000000,1.000000000
05052,30100,1.000000000,1.000000000,1.000000000,1.000000000
05055,30100,1.000000000,1.000000000,1.000000000,1.000000000
05059,30100,1.000000000,0.000000000,1.000000000,1.000000000
04984,99999,1.000000000,0.000000000,1.000000000,1.000000000
04918,12300,1.000000000,0.000000000,1.000000000,1.000000000
04915,99999,1.000000000,1.000000000,1.000000000,1.000000000
04856,99999,1.000000000,1.000000000,1.000000000,1.000000000
04765,12620,1.000000000,1.000000000,1.000000000,1.000000000
04848,99999,1.000000000,1.000000000,1.000000000,1.000000000
05345,99999,1.000000000,1.000000000,1.000000000,1.000000000
05255,13540,1.000000000,1.000000000,1.000000000,1.000000000
05342,99999,1.000000000,1.000000000,1.000000000,1.000000000
05733,99999,0.203857665,0.056603774,0.020408163,0.191176471
05733,40860,0.796142335,0.943396226,0.979591837,0.808823529
05661,99999,1.000000000,1.000000000,1.000000000,1.000000000
05667,12740,1.000000000,1.000000000,1.000000000,1.000000000
05676,15540,0.079326923,0.010033445,0.011695906,0.065349060
05676,12740,0.920673077,0.989966555,0.988304094,0.934650940
05680,12740,0.018701870,0.000000000,0.000000000,0.018378378
05680,99999,0.981298130,1.000000000,1.000000000,0.981621622
05602,12740,1.000000000,1.000000000,1.000000000,1.000000000
05641,30100,0.030436333,0.000000000,0.001150748,0.024842919
05641,12740,0.969563667,1.000000000,0.998849252,0.975157081
05601,12740,1.000000000,1.000000000,1.000000000,1.000000000
05486,15540,1.000000000,1.000000000,1.000000000,1.000000000
05446,15540,1.000000000,1.000000000,1.000000000,1.000000000
05403,15540,1.000000000,1.000000000,1.000000000,1.000000000
05450,15540,1.000000000,1.000000000,1.000000000,1.000000000
05742,40860,1.000000000,1.000000000,1.000000000,1.000000000
05738,40860,1.000000000,1.000000000,1.000000000,1.000000000
05762,40860,0.963541667,1.000000000,1.000000000,0.964467005
05762,30100,0.036458333,0.000000000,0.000000000,0.035532995
01085,44140,1.000000000,1.000000000,1.000000000,1.000000000
01104,44140,1.000000000,1.000000000,1.000000000,1.000000000
01103,44140,1.000000000,1.000000000,1.000000000,1.000000000
05839,99999,1.000000000,1.000000000,1.000000000,1.000000000
05858,99999,1.000000000,1.000000000,0.000000000,1.000000000
05859,99999,1.000000000,1.000000000,1.000000000,1.000000000
01220,38340,1.000000000,1.000000000,1.000000000,1.000000000
02771,39300,1.000000000,1.000000000,1.000000000,1.000000000
02770,14460,0.998889711,1.000000000,1.000000000,0.998951416
02770,39300,0.001110289,0.000000000,0.000000000,0.001048584
02762,14460,1.000000000,1.000000000,1.000000000,1.000000000
02738,14460,1.000000000,1.000000000,1.000000000,1.000000000
01376,44140,1.000000000,1.000000000,1.000000000,1.000000000
01351,44140,1.000000000,1.000000000,1.000000000,1.000000000
01354,44140,1.000000000,1.000000000,1.000000000,1.000000000
01339,44140,1.000000000,1.000000000,1.000000000,1.000000000
02828,39300,1.000000000,1.000000000,1.000000000,1.000000000
